,Website
0,http://www.4sightholdings.com
1,http://www.aeciworld.com
2,https://www.absa.africa
3,http://www.acceleratepf.co.za
4,http://www.acsionsa.co.za
5,http://www.adcock.com
6,http://www.adcorp.co.za
7,http://www.advancedhealth.co.za
8,http://www.advtech.co.za
9,http://www.afineinvestments.com
10,http://www.rextrueform.com
11,http://www.afdawn.co.za
12,http://www.aeei.co.za
13,http://www.ame.co.za
14,http://www.arci.mu
15,http://www.arm.co.za
16,http://www.afrimat.co.za
17,http://www.afristrat.co.za
18,http://www.afrocentric.za.com
19,http://www.alljoy.co.za
20,http://www.alexanderforbes.co.za
21,http://www.alphaminresources.com
22,http://www.altron.com
23,http://www.alvivaholdings.com
24,http://www.angloamericanplatinum.com
25,http://www.angloamerican.co.uk
26,http://www.anglogoldashanti.com
27,http://www.ab-inbev.com
28,http://www.arcelormittalsa.com
29,http://www.areitprop.co.za
30,http://www.argent.co.za
31,http://www.ascendishealth.com
32,http://www.aspenpharma.com
33,http://www.astoria.mu
34,http://www.astralfoods.com
35,http://www.attacq.co.za
36,http://www.aveng.co.za
37,http://www.avi.co.za
38,http://www.ayotsl.com
39,http://www.balwin.co.za
40,http://www.barloworld.com
41,http://www.basilread.co.za
42,http://www.bellir.co.za
43,http://www.bhp.com
44,http://www.bidcorpgroup.com
45,http://www.bluelabeltelecoms.co.za
46,http://www.bowler.co.za
47,http://www.brait.com
48,http://www.brikor.co.za
49,http://www.brimstone.co.za
50,http://www.bat.com
51,http://www.buffalocoal.co.za
52,http://www.imbaliebeauty.co.za
53,http://www.bytes.co.uk
54,http://www.casholdings.co.za
55,http://www.cafca.co.zw
56,http://www.calgrom3.com
57,http://www.capitalandcounties.com
58,http://www.capreg.com
59,http://www.capitalappreciation.co.za
60,http://www.capitecbank.co.za
61,http://www.cashbuild.co.za
62,http://www.castleview.co.za
63,http://www.caxton.co.za
64,http://www.choppies.co.bw
65,http://www.chrometco.co.za
66,http://www.clhg.com
67,http://www.clicksgroup.co.za
68,http://www.clientele.co.za
69,http://www.cognitionholdings.co.za
70,http://www.cmh.co.za
71,http://www.richemont.com
72,http://www.conduitcapital.co.za
73,http://www.coronation.com
74,http://www.cbl.co.za
75,http://www.curro.co.za
76,http://www.datatec.com
77,http://www.deltafund.co.za
78,http://www.deneb.co.za
79,http://www.deutsche-konsum.de
80,http://www.dipula.co.za
81,http://www.dischemgroup.com
82,http://www.discovery.co.za
83,http://www.distell.co.za
84,http://www.draglobal.com
85,http://www.drdgold.com
86,http://www.eastplats.com
87,http://www.eforaenergy.com
88,http://www.elliesholdings.com
89,http://www.emediaholdings.co.za
90,http://www.emira.co.za
91,http://www.enxgroup.co.za
92,http://www.eoh.co.za
93,www.ethoscapital.mu
94,http://www.equites.co.za
95,http://www.erinenergy.com
96,http://www.etion.co.za
97,http://www.europametals.com
98,http://www.exemplarREIT.co.za
99,http://www.exxaro.com
100,http://www.fairvest.co.za
101,http://www.famousbrands.co.za
102,http://www.finbondlimited.co.za
103,http://www.firstrand.co.za
104,http://www.fortressfund.co.za
105,http://www.hplr.co.za
106,http://www.gemfieldsgroup.com
107,http://www.glencore.com
108,www.gtcgroup.com
109,http://www.golife.co.za
110,http://www.goldfields.co.za
111,http://www.grandparade.co.za
112,http://www.grindrod.com
113,http://www.grinshipping.com
114,http://www.growthpoint.co.za
115,http://www.hammerson.com
116,http://www.harmony.co.za
117,http://www.heriotreit.com
118,http://homechoiceinternational.com
119,http://www.hci.co.za
120,http://www.hudaco.co.za
121,http://www.hugegroup.co.za
122,http://www.hulamin.co.za
123,http://www.hwangecolliery.net
124,http://www.hyprop.co.za
125,http://www.implats.co.za
126,http://www.indluplaceproperties.co.za
127,http://www.industrialsreit.com
128,http://www.insimbi-iras.co.za
129,http://www.investec.com
130,http://www.investec.com
131,http://www.investecpropertyfund.com
132,http://www.invictaholdings.co.za
133,http://www.isaholdings.co.za
134,http://www.italtile.com
135,http://www.jasco.co.za
136,http://www.jse.co.za
137,http://www.jubileemetalsgroup.com
138,https://www.kaapagri.co.za
139,http://www.kap.co.za
140,http://www.karooooo.com
141,http://kibo.energy
142,http://www.korepotash.com
143,http://www.angloamericankumba.com
144,http://www.labatafrica.co.za
145,https://www.lesakatech.com
146,http://www.lewisgroup.co.za
147,http://www.liberty2degrees.co.za
148,http://www.libstar.co.za
149,http://www.lifehealthcare.co.za
150,http://www.lighthousepropertiesplc.mt
151,http://www.city-group.com
152,http://www.luxeholdings.co.za
153,http://www.mahube.africa
154,http://www.mantengu.com
155,http://www.monteaglegroup.com
156,http://www.masrei.com
157,http://www.masterdrilling.com
158,http://www.mcmining.co.za
159,http://www.mediclinic.com
160,http://www.meraferesources.co.za
161,http://www.metair.co.za
162,http://www.metrofileholdings.com
163,http://www.mixtelematics.co.za
164,http://www.momentummetropolitan.co.za
165,http://www.mondigroup.com
166,http://montaukenergy.com
167,http://www.motuscorp.co.za
168,http://www.mpact.co.za
169,http://www.mrpricegroup.com
170,http://www.mtn.com
171,http://www.multichoice.com
172,http://www.murrob.com
173,http://www.mustek.co.za
174,http://www.nampak.com
175,http://www.naspers.com
176,http://www.nedbankgroup.co.za
177,https://nepirockcastle.com
178,http://www.netcareinvestor.co.za
179,http://newfrontierprop.com
180,http://www.newpark.co.za
181,http://www.nictuslimited.co.za
182,http://www.ninetyone.com
183,http://www.ninetyone.com
184,http://www.northam.co.za
185,http://www.novus.holdings
186,http://www.nholdings.co.za
187,http://www.nuworld.co.za
188,http://www.oandoplc.com
189,http://www.oasiscrescent.com
190,http://www.oceana.co.za
191,http://www.octodec.co.za
192,http://www.oldmutual.com
193,http://www.omnia.co.za
194,http://www.onelogix.com
195,http://www.orionminerals.com.au
196,http://www.panafricanresources.com
197,http://www.pbtgroup.co.za
198,http://www.plgschools.co.za
199,http://www.pepkor.co.za
200,http://www.picknpayinvestor.co.za
201,http://www.ppc.co.za
202,http://premierfishing.co.za
203,http://www.primeserv.co.za
204,http://www.prosus.com
205,http://www.psg.co.za
206,http://www.psvholdings.com
207,http://www.purplegroup.co.za
208,http://www.putprop.co.za
209,http://www.quantumfoods.co.za
210,http://www.quilter.com
211,http://www.rmbh.com
212,http://www.randgoldexo.co.za
213,http://www.raubex.co.za
214,http://www.rclfoods.com
215,http://www.rebosis.co.za
216,http://www.redefine.co.za
217,http://www.reinet.com
218,http://www.remgro.com
219,http://www.renergen.co.za
220,http://resilient.co.za
221,http://www.resgen.com.au
222,http://www.reunert.com
223,http://www.rextrueform.com
224,http://www.rfg.com
225,https://www.rhbophelo.co.za
226,http://www.rmbh.co.za
227,http://www.bafokengplatinum.co.za
228,http://www.sacorporatefund.co.za
229,http://www.sablemetals.co.za
230,http://www.sabvest.com
231,http://www.safari-investments.com
232,http://www.salunganogroup.com
233,http://www.sanlam.co.za
234,http://www.santam.co.za
235,http://www.santova.com
236,http://www.sappi.com
237,http://www.sasfin.com
238,http://www.sasol.com
239,http://www.srei.co.uk
240,http://www.seaharvest.co.za
241,http://www.sebataholdings.com
242,http://www.sephakuholdings.co.za
243,http://www.shopriteholdings.co.za
244,http://www.sibanyestillwater.com
245,http://www.sirius-real-estate.com
246,http://www.southoceanholdings.co.za
247,https://www.south32.net
248,http://www.southernpalladium.com
249,http://www.southernsun.com
250,http://www.spearprop.co.za
251,http://www.spurcorporation.co.za
252,http://www.stadio.co.za
253,http://www.standardbank.co.za
254,http://www.stefanutti.co.za
255,http://www.steinhoffinternational.com
256,http://www.stor-age.co.za
257,http://www.suninternational.com
258,http://www.supergroup.co.za
259,http://www.sygnia.co.za
260,http://www.telemasters.co.za
261,http://www.telkom.co.za
262,http://www.textainer.com
263,http://www.texton.co.za
264,http://www.tharisa.com
265,http://www.bidvest.com
266,http://www.tfglimited.co.za
267,http://www.spar.co.za
268,http://www.thungela.com
269,http://www.tigerbrands.com
270,http://www.tongaat.co.za
271,www.tradehold.co.za
272,http://www.transactioncapital.co.za
273,http://transcendproperty.co.za
274,http://www.transpaco.co.za
275,http://www.trellidor.com
276,http://www.trematon.co.za
277,http://www.trencor.net
278,http://www.tgh.na
279,http://www.truworths.co.za
280,http://www.tsogosungaming.com
281,http://www.unionatlanticminerals.com
282,http://www.universalpartners.mu
283,http://www.visualinternational.co.za
284,http://www.vodacom.co.za
285,http://www.vukile.co.za
286,http://www.vunanigroup.co.za
287,http://www.wearne.co.za
288,http://www.wesizwe.co.za
289,http://www.wbho.co.za
290,http://www.woolworths.co.za
291,http://www.workforce.co.za
292,http://www.york.co.za
293,http://www.zeder.co.za
